FULL NAME,TEAM,POS,GP,MPG,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,FG%,PointsPerGame,ReboundsPerGame,AssistsPerGame,StealsPerGame,BlocksPerGame,TurnoversPerGame,Offensive Rating
Pascal Siakam,Tor,F,11,38,23.6,9.8,46,0.717,129,0.481,53,0.189,0.423,17,7.5,3.8,1.09,0.36,2,96.6
Anfernee Simons,Por,G,4,20.5,16.6,12.3,6,0.833,12,0.167,14,0.429,0.423,6.8,2.8,2.5,1.5,0,1,101.7
Marcus Smart,Bos,G,17,38.1,18.4,16.8,56,0.875,75,0.493,123,0.333,0.497,14.5,5.2,4.6,1.24,0.47,2.65,106.7
JR Smith,Lal,G,10,7.5,19.2,21.2,0,0,4,0.25,22,0.273,0.385,2,0.3,0.3,0.2,0,0.7,65.9
Edmond Sumner,Ind,G,3,13.5,11.2,20.2,2,1,4,0.5,3,0,0.286,2,2,0,0,0,0.67,69.7
Jayson Tatum,Bos,F-G,17,40.6,28.2,11,123,0.813,208,0.471,126,0.373,0.504,25.7,10,5,1,1.18,2.82,112.5
Garrett Temple,Bro,G-F,4,34.3,17.3,10.4,6,0.833,13,0.615,36,0.25,0.439,12,2.8,2,0.75,0.25,1.5,91.8
Daniel Theis,Bos,F,17,28.3,13.6,10.2,33,0.788,91,0.626,26,0.154,0.538,8.9,7.1,1.5,0.35,1.24,0.88,119.8
Lance Thomas,Bro,F,3,5.7,16.2,0,4,0.5,3,0.333,2,0,0.2,1.3,1,0,0,0.33,0,75.5
Matt Thomas,Tor,G,10,8.4,11.5,4.5,0,0,9,0.889,12,0.417,0.738,3.1,1.4,0.7,0.1,0.1,0.1,145.5
Matisse Thybulle,Phi,G-F,4,18.9,5.2,22.2,0,0,3,0.667,4,0.25,0.5,1.8,1.8,0.5,0.75,0.25,0.5,90.6
Gary Trent Jr.,Por,G-F,5,30.6,14.5,9.4,7,0.857,21,0.286,24,0.417,0.467,9.6,2,0.6,0.8,0,1,100.9
P.J. Tucker,Hou,F,12,34.5,10.8,12,0,0,21,0.476,67,0.373,0.54,7.9,7.2,1.4,1.08,0.25,1,111.3
